Country,Population_Growth,Infant_Mortality
AL,1.34,49.2
GR,0.42,7.4
MK,0.46,29.7
SRB,-0.47,6.75
MNE,-0.851,
KOS,,
AND,2.96,2.2
F,0.34,5.3
E,0.16,6.3
A,0.41,6.2
CZ,-0.03,8.4
D,0.67,6.0
H,-0.68,12.3
I,0.13,6.9
FL,1.08,5.3
SK,0.34,10.7
SLO,-0.27,7.3
CH,0.59,5.4
BY,0.2,13.4
LV,-1.39,21.2
LT,-0.35,17.0
PL,0.14,12.4
UA,-0.4,22.5
R,-0.07,24.7
B,0.33,6.4
L,1.57,4.7
NL,0.56,4.9
BIH,-2.84,43.2
HR,0.58,10.2
BG,0.46,15.7
RO,-1.21,23.2
TR,1.67,43.2
DK,0.38,4.8
EW,-1.13,17.4
FARX,-1.8,7.2
SF,0.1,4.9
N,0.48,4.9
S,0.56,4.5
MC,0.59,6.9
GBZ,0.54,6.9
GBG,1.28,9.2
V,,
IS,0.83,4.3
IRL,-0.22,6.4
RSM,0.82,5.5
GBJ,0.77,2.7
M,1.01,6.9
GBM,0.94,2.4
MD,0.18,47.6
P,0.02,7.6
SVAX,-0.02,
GB,0.22,6.4
AFG,4.78,149.7
TJ,0.98,39.6
IR,2.21,52.7
PK,2.24,96.8
TAD,1.54,113.1
TM,1.82,81.6
UZB,1.87,79.6
ARM,0.02,38.9
GE,-1.02,22.5
AZ,0.78,74.5
BRN,2.27,17.1
BD,1.85,102.3
MYA,1.84,80.7
IND,1.64,71.1
BHT,2.32,116.3
BRU,2.56,24.2
MAL,2.07,24.0
LAO,2.81,96.8
THA,1.03,33.4
K,2.77,107.8
VN,1.57,38.4
KAZ,-0.15,63.2
NOK,1.74,25.9
KGZ,0.07,77.8
HONX,0.51,2.9
MACX,1.15,5.3
MNG,1.69,69.7
NEP,2.45,79.0
XMAS,,
COCO,,
CY,1.11,8.4
GAZA,4.55,30.6
IL,2.11,8.5
ET,1.91,72.8
RI,1.53,63.1
TL,2.03,40.65
PNG,2.29,60.1
IRQ,3.69,60.0
JOR,2.65,31.5
KWT,6.65,11.1
SA,3.45,46.4
SYR,3.37,40.0
RL,2.16,36.7
WEST,4.99,28.6
J,0.21,4.4
ROK,1.02,8.2
MV,3.52,47.0
OM,3.53,27.3
UAE,4.33,20.4
YE,3.56,71.5
RP,2.18,35.9
Q,2.39,19.6
SGP,1.9,4.7
CL,1.13,20.8
RC,0.89,7.0
AXA,2.27,3.52
AG,0.76,17.2
ARU,1.478,13.79
BS,1.05,23.3
BDS,0.26,18.7
BZ,2.42,33.9
GCA,2.48,50.7
MEX,1.87,25.0
BERM,0.65,2.46
BVIR,1.84,14.65
CDN,1.06,6.1
USA,0.91,6.7
CAYM,2.39,6.94
CR,2.06,13.5
NIC,2.67,45.8
PA,1.64,29.7
C,0.44,9.0
WD,0.38,9.6
DOM,1.73,47.7
RH,1.77,103.8
ES,1.81,31.9
HCA,2.6,41.8
GROX,1.0,23.8
WG,0.55,11.9
GUAD,1.2,8.3
JA,0.8,15.6
MART,1.1,7.1
MNTS,0.39,16.08
NA,0.73,9.09
SMAR,,
CO,1.66,25.8
PR,0.34,8.42
KN,0.98,18.9
WL,1.14,20.0
SPMI,0.77,9.95
WV,0.64,16.8
TT,0.08,18.2
TUCA,2.56,13.89
VIRG,-0.06,12.54
AMSA,1.22,10.18
AUS,0.99,5.5
COOK,-3.3,16.9
FJI,1.28,17.4
FPOL,1.39,7.55
GUAM,1.37,6.05
KIR,1.89,52.9
MH,3.85,46.9
FSM,3.34,35.8
NAU,1.33,40.6
NCA,1.14,7.05
NZ,1.12,6.7
NIUE,,
NORF,,
NMIS,2.29,6.7
PAL,1.71,25.07
PITC,,
SLB,3.35,25.8
TO,0.82,40.26
TUV,1.51,27.6
VU,2.17,64.6
WAFU,0.35,5.02
WS,2.37,34.3
RA,1.1,28.3
BOL,1.82,67.5
BR,1.16,55.3
RCH,1.24,13.6
PY,2.67,23.2
ROU,0.7,15.4
PE,1.74,52.2
FGU,3.86,14.6
GUY,-0.9,51.4
SME,1.6,29.3
YV,1.89,29.5
EC,1.96,34.8
FALK,,
DZ,2.21,48.7
LAR,3.67,59.5
RMM,2.95,102.7
RIM,3.17,81.7
MA,2.05,43.2
RN,2.99,117.6
TN,1.81,35.1
WSA,2.46,145.82
ANG,2.68,138.9
RCB,2.19,108.1
NAM,2.93,47.2
ZRE,1.67,108.0
Z,2.11,96.1
BEN,3.32,105.1
BF,2.53,117.8
WAN,3.05,72.4
RT,3.56,84.3
RB,1.63,54.2
RSA,1.76,48.8
ZW,1.41,72.8
CI,2.92,82.4
GH,2.29,80.3
BI,1.54,102.2
RWA,16.49,118.8
EAT,1.15,105.9
CAM,2.89,78.7
RCA,2.08,111.7
TCH,2.68,120.4
GQ,2.58,98.0
G,1.47,90.1
CV,2.93,54.3
SUD,3.48,76.0
COM,3.55,75.3
RG,1.85,134.1
LB,2.13,108.1
DJI,1.5,106.7
ER,2.79,118.9
ETH,2.72,122.8
SP,3.1,121.1
EAK,2.27,55.3
WAG,3.55,80.5
SN,3.37,64.0
GNB,2.35,115.8
WAL,4.14,135.6
EAU,2.24,99.4
LS,1.9,81.6
RM,2.83,93.5
MW,1.71,139.9
MOC,2.65,125.6
MS,1.23,17.2
MAYO,3.32,56.29
SD,3.24,88.4
REUN,1.93,7.5
HELX,0.45,17.63
STP,2.58,61.1
SY,0.76,12.5
